category,similarity,id_1,family_1,title_1,description_1,id_2,family_2,title_2,description_2
acceso_autenticacion,0.9197,S000279,credenciales_rechazadas,La clave aparece como incorrecta,La plataforma rechaza el usuario y la clave aunque estoy seguro de que es correcto en el navegador. Necesito continuar con el proceso cuanto antes.,S000807,credenciales_rechazadas,La clave aparece como incorrecta,La plataforma rechaza mi correo y contraseña aunque estoy seguro de que es correcto en el navegador. Necesito continuar con el proceso cuanto antes.
pagos_facturacion,0.9191,S000105,monto_incorrecto,Importe equivocado en la factura,La factura muestra un importe mayor respecto del precio informado. El problema también fue confirmado por otro usuario.,S000755,monto_incorrecto,Importe equivocado en la factura,La factura muestra un descuento faltante respecto del precio informado. El problema también fue confirmado por otro usuario.
consulta_general,0.9177,S000036,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre la suscripción mensual y el plan profesional. Ya intenté actualizar la página y volver a probar.,S000101,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan profesional. Ya intenté actualizar la página y volver a probar.
solicitud_funcionalidad,0.9164,S000494,nuevo_pago,Quiero pagar con billetera digital,Sería útil permitir pagos mediante pago por QR además de las tarjetas. Ya intenté actualizar la página y volver a probar.,S000595,nuevo_pago,Quiero pagar con billetera digital,Sería útil permitir pagos mediante transferencia bancaria además de las tarjetas. Ya intenté actualizar la página y volver a probar.
error_tecnico,0.9143,S000111,servicio_caido,Servicio no disponible,Todos los usuarios reciben conexión rechazada al intentar ingresar. El problema también fue confirmado por otro usuario.,S000172,servicio_caido,Servicio no disponible,Todos los usuarios reciben un error 500 al intentar ingresar. El problema también fue confirmado por otro usuario.
solicitud_funcionalidad,0.912,S000203,automatizacion,Automatizar una tarea repetitiva,Actualmente hacemos el proceso manualmente y necesitamos automatizar el envío de reportes.,S000577,automatizacion,Automatizar una tarea repetitiva,Actualmente hacemos el proceso manualmente y necesitamos automatizar la creación de respaldos.
consulta_general,0.9112,S000065,planes_precios,¿Cuánto cuesta el servicio?,¿Qué funciones están incluidas en la suscripción mensual?,S000731,planes_precios,¿Cuánto cuesta el servicio?,¿Qué funciones están incluidas en la opción empresarial?
consulta_general,0.9108,S000012,metodos_disponibles,¿Qué opciones acepta la plataforma?,Quiero saber qué tipos de archivo acepta actualmente la plataforma.,S000261,metodos_disponibles,¿Qué opciones acepta la plataforma?,Quiero saber qué formatos de exportación acepta actualmente la plataforma.
solicitud_funcionalidad,0.9091,S000513,nuevo_pago,Agregar un nuevo método de pago,Solicito incorporar una billetera digital como alternativa de pago. Esto sucede en más de un dispositivo.,S000780,nuevo_pago,Agregar un nuevo método de pago,Solicito incorporar pago por QR como alternativa de pago. Esto sucede en más de un dispositivo.
rendimiento,0.9091,S000585,api_lenta,Las solicitudes tardan varios segundos,"El endpoint funciona, aunque responde con mucha demora siempre. Antes funcionaba con normalidad.",S000620,api_lenta,Las solicitudes tardan varios segundos,"El endpoint funciona, aunque responde con mucha demora cada vez que lo intento. Antes funcionaba con normalidad."
error_tecnico,0.9078,S000024,cierre_inesperado,El sistema se cierra al editar,"Puedo entrar normalmente, pero la aplicación falla al confirmar una operación. Antes funcionaba con normalidad.",S000342,cierre_inesperado,La aplicación se cierra sola,"Puedo entrar normalmente, pero la aplicación falla al confirmar una operación. Antes funcionaba con normalidad."
consulta_general,0.9068,S000489,estado_proceso,Necesito conocer el estado del trámite,Quisiera saber dónde puedo consultar el estado de una solicitud de soporte. Necesito continuar con el proceso cuanto antes.,S000816,estado_proceso,Necesito conocer el estado del trámite,Quisiera saber dónde puedo consultar el estado de mi registro. Necesito continuar con el proceso cuanto antes.
error_tecnico,0.9068,S000430,pantalla_blanca,No aparece contenido en la sección,La sección queda vacía de forma intermitente y necesito volver a cargar la página.,S000798,pantalla_blanca,No aparece contenido en la sección,La sección queda vacía cada vez que lo intento y necesito volver a cargar la página.
pagos_facturacion,0.9058,S000180,monto_incorrecto,Importe equivocado en la factura,La factura muestra impuestos duplicados respecto del precio informado. Antes funcionaba con normalidad.,S000234,monto_incorrecto,Importe equivocado en la factura,La factura muestra servicios no contratados respecto del precio informado. Antes funcionaba con normalidad.
error_tecnico,0.9038,S000131,archivo_falla,El archivo generado está dañado,Al intentar exportar la información aparece archivo corrupto y la operación se detiene.,S000384,archivo_falla,El archivo generado está dañado,Al intentar exportar la información aparece formato no válido y la operación se detiene.
pagos_facturacion,0.9034,S000639,reembolso,Solicito un reembolso,"El reembolso fue aprobado hace tres días, pero el dinero no aparece en mi cuenta. El problema también fue confirmado por otro usuario.",S000799,reembolso,La devolución todavía no llega,"El reembolso fue aprobado hace tres días, pero el dinero no aparece en mi cuenta. El problema también fue confirmado por otro usuario."
consulta_general,0.9016,S000451,politicas_requisitos,Necesito información sobre las condiciones,¿Qué requisitos debo cumplir para registrar una empresa?,S000554,politicas_requisitos,Necesito información sobre las condiciones,¿Qué requisitos debo cumplir para invitar usuarios?
rendimiento,0.9,S000683,reporte_lento,Demora excesiva al procesar reportes,"El reporte se genera correctamente, aunque tarda casi diez minutos en completarse.",S000859,reporte_lento,Demora excesiva al procesar reportes,"El reporte se genera correctamente, aunque tarda mucho más que antes en completarse."
consulta_general,0.8995,S000528,metodos_disponibles,Información sobre formas de pago,Quiero saber qué tipos de archivo acepta actualmente la plataforma.,S000852,metodos_disponibles,Información sobre formas de pago,Quiero saber qué tarjetas y medios de pago acepta actualmente la plataforma.
acceso_autenticacion,0.8981,S000292,cierre_sesion,El botón cerrar sesión no termina el acceso,"Después de salir, al volver a la página sigo dentro de la cuenta solo en algunos intentos.",S000739,cierre_sesion,El botón cerrar sesión no termina el acceso,"Después de salir, al volver a la página sigo dentro de la cuenta de forma intermitente."
acceso_autenticacion,0.8975,S000319,sesion_expirada,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y necesito resolverlo hoy. Ya intenté actualizar la página y volver a probar.",S000609,sesion_expirada,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y esto retrasa la atención de clientes. Ya intenté actualizar la página y volver a probar."
acceso_autenticacion,0.8966,S000313,sesion_expirada,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y no encuentro una alternativa. Necesito continuar con el proceso cuanto antes.",S000331,sesion_expirada,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y afecta a varios usuarios. Necesito continuar con el proceso cuanto antes."
rendimiento,0.8966,S000300,lentitud_horaria,La plataforma se ralentiza con muchos usuarios,El rendimiento baja notablemente la mañana de los lunes y las operaciones tardan en completarse.,S000423,lentitud_horaria,La plataforma se ralentiza con muchos usuarios,El rendimiento baja notablemente la mañana de los lunes y las operaciones tardan en completarse. Antes funcionaba con normalidad.
error_tecnico,0.8959,S000665,pantalla_blanca,Pantalla vacía al abrir un módulo,La sección queda vacía casi siempre y necesito volver a cargar la página.,S000879,pantalla_blanca,Pantalla vacía al abrir un módulo,La sección queda vacía varias veces al día y necesito volver a cargar la página.
consulta_general,0.8958,S000141,disponibilidad_funcion,¿La plataforma incluye esta función?,¿Está disponible la exportación de datos en mi plan actual?,S000548,disponibilidad_funcion,¿La plataforma incluye esta función?,¿Está disponible la descarga de facturas en mi plan actual?
consulta_general,0.8952,S000711,metodos_disponibles,Información sobre formas de pago,Quiero saber qué métodos de acceso acepta actualmente la plataforma.,S000852,metodos_disponibles,Información sobre formas de pago,Quiero saber qué tarjetas y medios de pago acepta actualmente la plataforma.
error_tecnico,0.8952,S000482,archivo_falla,No puedo subir archivos,Cualquier documento produce el mismo error cuando intento exportar la información. El problema también fue confirmado por otro usuario.,S000559,archivo_falla,No puedo subir archivos,Cualquier documento produce el mismo error cuando intento descargar el reporte. El problema también fue confirmado por otro usuario.
error_tecnico,0.8951,S000771,archivo_falla,No puedo subir archivos,Al intentar abrir el documento aparece operación fallida y la operación se detiene. Ya intenté actualizar la página y volver a probar.,S000865,archivo_falla,El archivo generado está dañado,Al intentar abrir el documento aparece operación fallida y la operación se detiene. Ya intenté actualizar la página y volver a probar.
acceso_autenticacion,0.8943,S000228,activacion_cuenta,Cuenta registrada pero sin activar,"Completé el registro, pero la confirmación no se guarda y no puedo iniciar sesión. El problema también fue confirmado por otro usuario.",S000389,activacion_cuenta,Cuenta registrada pero sin activar,"Completé el registro, pero el enlace ya expiró y no puedo iniciar sesión. El problema también fue confirmado por otro usuario."
error_tecnico,0.8943,S000296,duplicados,Aparecen elementos repetidos,"Confirmo la operación una sola vez, pero el sistema genera tres registros iguales. El problema también fue confirmado por otro usuario.",S000547,duplicados,Se crean registros duplicados,"Confirmo la operación una sola vez, pero el sistema genera varios registros iguales. El problema también fue confirmado por otro usuario."
acceso_autenticacion,0.8937,S000122,doble_factor,El código de verificación no funciona,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. El problema también fue confirmado por otro usuario.,S000657,doble_factor,Código 2FA rechazado,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. El problema también fue confirmado por otro usuario.
solicitud_funcionalidad,0.8935,S000557,nueva_exportacion,Necesitamos descargar datos en otro formato,Solicito una opción que permita descargar la lista de usuarios en Excel. El problema también fue confirmado por otro usuario.,S000810,nueva_exportacion,Necesitamos descargar datos en otro formato,Solicito una opción que permita descargar los reportes en Google Sheets. El problema también fue confirmado por otro usuario.
error_tecnico,0.893,S000194,duplicados,Aparecen elementos repetidos,"Confirmo la operación una sola vez, pero el sistema genera varios registros iguales. Ya intenté actualizar la página y volver a probar.",S000644,duplicados,Se crean registros duplicados,"Confirmo la operación una sola vez, pero el sistema genera tres registros iguales. Ya intenté actualizar la página y volver a probar."
consulta_general,0.8924,S000036,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre la suscripción mensual y el plan profesional. Ya intenté actualizar la página y volver a probar.,S000866,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan empresarial. Ya intenté actualizar la página y volver a probar.
acceso_autenticacion,0.8917,S000335,cuenta_bloqueada,No puedo entrar por bloqueo de cuenta,"La plataforma informa que mi usuario está bloqueado, incluso después de esperar todo el día. Antes funcionaba con normalidad.",S000497,cuenta_bloqueada,Mi cuenta quedó bloqueada,"La plataforma informa que mi usuario está bloqueado, incluso después de esperar todo el día. Antes funcionaba con normalidad."
acceso_autenticacion,0.8914,S000463,sesion_expirada,La plataforma me desconecta constantemente,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y afecta a varios usuarios. Antes funcionaba con normalidad.",S000520,sesion_expirada,La plataforma me desconecta constantemente,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y no puedo continuar con mi trabajo. Antes funcionaba con normalidad."
consulta_general,0.8912,S000207,horarios_soporte,Horario de atención,Necesito información sobre el horario y los canales de atención disponibles. Esto sucede en más de un dispositivo.,S000897,horarios_soporte,Necesito conocer el horario de ayuda,Necesito información sobre el horario y los canales de atención disponibles. Esto sucede en más de un dispositivo.
solicitud_funcionalidad,0.8909,S000123,filtros_avanzados,Solicito filtros combinados,"La búsqueda actual es básica y necesitamos filtros por fecha, estado y responsable.",S000337,filtros_avanzados,Agregar filtros avanzados,"La búsqueda actual es básica y necesitamos filtros por fecha, estado y responsable."
solicitud_funcionalidad,0.8889,S000280,mejora_interfaz,Personalizar la interfaz,Sería útil incorporar modo oscuro para mejorar el uso de la plataforma. Ya intenté actualizar la página y volver a probar.,S000436,mejora_interfaz,Necesitamos una vista móvil,Sería útil incorporar modo oscuro para mejorar el uso de la plataforma. Ya intenté actualizar la página y volver a probar.
solicitud_funcionalidad,0.8882,S000136,roles_permisos,Necesitamos nuevos roles,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. El problema también fue confirmado por otro usuario.,S000277,roles_permisos,Crear permisos personalizados,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. El problema también fue confirmado por otro usuario.
consulta_general,0.8881,S000021,horarios_soporte,Necesito conocer el horario de ayuda,Quisiera saber si el soporte atiende por la noche. Necesito continuar con el proceso cuanto antes.,S000579,horarios_soporte,Necesito conocer el horario de ayuda,Quisiera saber si el soporte atiende fuera del horario de oficina. Necesito continuar con el proceso cuanto antes.
solicitud_funcionalidad,0.888,S000121,automatizacion,Necesitamos ejecuciones automáticas,Actualmente hacemos el proceso manualmente y necesitamos automatizar la actualización de estados.,S000533,automatizacion,Necesitamos ejecuciones automáticas,Actualmente hacemos el proceso manualmente y necesitamos automatizar el envío de reportes.
solicitud_funcionalidad,0.885,S000330,automatizacion,Automatizar una tarea repetitiva,Actualmente hacemos el proceso manualmente y necesitamos automatizar la creación de respaldos. Antes funcionaba con normalidad.,S000577,automatizacion,Automatizar una tarea repetitiva,Actualmente hacemos el proceso manualmente y necesitamos automatizar la creación de respaldos.
pagos_facturacion,0.8843,S000515,pago_no_registrado,Pagué pero la cuenta sigue vencida,"La operación aparece aprobada, aunque el servicio sigue suspendido por falta de pago. Ya intenté actualizar la página y volver a probar.",S000539,pago_no_registrado,El pago no aparece registrado,"La operación aparece aprobada, aunque el servicio sigue suspendido por falta de pago. Ya intenté actualizar la página y volver a probar."
acceso_autenticacion,0.8838,S000269,recuperacion_no_recibida,No recibo el enlace para restablecer la clave,"Solicité recuperar la contraseña hace más de una hora, pero el mensaje no llega a mi dirección corporativa. El problema también fue confirmado por otro usuario.",S000785,recuperacion_no_recibida,No recibo el enlace para restablecer la clave,"Solicité recuperar la contraseña una vez, pero el mensaje no llega a mi bandeja de entrada. El problema también fue confirmado por otro usuario."
pagos_facturacion,0.8826,S000614,factura_no_recibida,El comprobante no aparece,La transacción terminó correctamente y no recibí ningún documento de pago desde hace unos minutos.,S000854,factura_no_recibida,El comprobante no aparece,La transacción terminó correctamente y no recibí ningún documento de pago desde hace unos minutos. Antes funcionaba con normalidad.
solicitud_funcionalidad,0.8826,S000254,nuevo_login,Agregar inicio de sesión con Google,Solicito que los usuarios puedan ingresar mediante Apple además del correo y contraseña. Antes funcionaba con normalidad.,S000540,nuevo_login,Agregar inicio de sesión con Google,Solicito que los usuarios puedan ingresar mediante Apple además del correo y contraseña.
solicitud_funcionalidad,0.88,S000053,filtros_avanzados,Solicito filtros combinados,Solicito una opción para combinar varios criterios al consultar facturas.,S000569,filtros_avanzados,Agregar filtros avanzados,Solicito una opción para combinar varios criterios al consultar facturas.
